time,tds,temp,ec,pH
2017/9/11 19:20:04,7.9,31,146.7,6.2542
2017/9/11 19:20:05,7.9,31,146.8,6.2621
2017/9/11 19:20:06,7.9,31,146.8,6.2712
2017/9/11 19:20:07,7.9,31,146.8,6.2741
2017/9/11 19:20:08,7.9,31,146.8,6.2779
2017/9/11 19:20:09,7.9,31,146.8,6.2697
2017/9/11 19:20:10,7.9,31,146.8,6.2557
2017/9/11 19:20:11,7.9,31,146.9,6.2557
2017/9/11 19:20:12,7.9,31,146.8,6.2668
2017/9/11 19:20:13,7.9,31,146.8,6.2732
2017/9/11 19:20:14,7.9,31,146.7,6.2744
2017/9/11 19:20:15,7.9,31,146.6,6.2794
2017/9/11 19:20:16,7.9,31,146.6,6.2583
2017/9/11 19:20:17,7.9,31,146.6,6.2621
2017/9/11 19:20:18,7.9,31,146.5,6.2727
2017/9/11 19:20:19,7.9,31,146.5,6.2727
2017/9/11 19:20:20,7.9,31,146.5,6.2759
2017/9/11 19:20:21,7.9,31,146.5,6.2686
2017/9/11 19:20:22,7.9,31,146.5,6.2527
2017/9/11 19:20:23,7.9,31,146.4,6.2668
2017/9/11 19:20:24,7.9,31,146.5,6.2729
2017/9/11 19:20:25,7.9,31,146.5,6.275
2017/9/11 19:20:27,7.9,31,146.5,6.2776
2017/9/11 19:20:28,7.9,31,146.6,6.2539
2017/9/11 19:20:29,7.9,31,146.6,6.2539
2017/9/11 19:20:30,7.9,31,146.6,6.2609
2017/9/11 19:20:31,7.9,31,146.6,6.2721
2017/9/11 19:20:32,7.9,31,146.7,6.2727
2017/9/11 19:20:33,7.9,31,146.7,6.2806
2017/9/11 19:20:34,7.9,31,146.7,6.2729
2017/9/11 19:20:35,7.9,31,146.7,6.258
2017/9/11 19:20:36,7.9,31,146.7,6.27
2017/9/11 19:20:37,7.9,31,146.7,6.2732
2017/9/11 19:20:38,7.9,31,146.7,6.275
2017/9/11 19:20:39,7.9,31,146.8,6.275
2017/9/11 19:20:40,7.9,31,146.8,6.2551
2017/9/11 19:20:41,7.9,31,146.8,6.2574
2017/9/11 19:20:42,7.9,31,146.8,6.2686
2017/9/11 19:20:43,7.9,31,146.7,6.2735
2017/9/11 19:20:44,7.9,31,146.8,6.2759
2017/9/11 19:20:45,7.9,31,146.8,6.2703
2017/9/11 19:20:46,7.9,31,146.8,6.2703
2017/9/11 19:20:47,7.9,31,146.8,6.2522
2017/9/11 19:20:48,7.9,31,146.8,6.2647
2017/9/11 19:20:49,7.9,31,146.8,6.2697
2017/9/11 19:20:50,7.9,31,146.7,6.2724
2017/9/11 19:20:52,7.9,31,146.6,6.2759
2017/9/11 19:20:53,7.9,31,146.6,6.2554
2017/9/11 19:20:54,7.9,31,146.6,6.2568
2017/9/11 19:20:55,7.9,31,146.6,6.2697
2017/9/11 19:20:56,7.9,31,146.7,6.2724
2017/9/11 19:20:57,7.9,31,146.7,6.2762
2017/9/11 19:20:58,7.9,31,146.5,6.2677
2017/9/11 19:20:59,7.9,31,146.5,6.2548
2017/9/11 19:21:00,7.9,31,146.6,6.2647
